bill_number,chamber,status,success,motion_text,vote_location,vote_date,vote_result,vote_threshold,yes_count,no_count,other_count,total_votes,vote_threshold_num,vote_margin
AB 392,Assembly,In committee: Held under submission.,Failed,AB 392 Dixon Assembly Third Reading,Assembly,2025-06-05T23:27:50+00:00,pass,1/2,78,0,1,79.0,41.0,37.0
AB 392,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Public Safety]",Senate,2025-07-08T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 392,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 410,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,12,1,2,15.0,41.0,-29.0
AB 410,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 410,Assembly,In committee: Held under submission.,Failed,AB 410 Wilson Assembly Third Reading,Assembly,2025-06-03T18:11:04+00:00,pass,1/2,77,2,0,79.0,41.0,36.0
AB 410,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 410,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-03-18T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,Do pass as amended.,Assembly,2025-05-06T07:00:00+00:00,pass,1/2,9,1,2,12.0,41.0,-32.0
AB 412,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,AB 412 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-12T22:24:13+00:00,pass,1/2,45,16,18,79.0,41.0,4.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-03-18T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass.,Assembly,2025-05-06T07:00:00+00:00,pass,1/2,8,3,1,12.0,41.0,-33.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,AB 446 Ward Assembly Third Reading,Assembly,2025-05-12T22:22:43+00:00,pass,1/2,47,20,12,79.0,41.0,6.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,10,2,1,13.0,21.0,-11.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 446,Assembly,Ordered to inactive file at the request of Senator McNerney.,Failed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,4,2,1,7.0,21.0,-17.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,10,2,3,15.0,41.0,-31.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,9,2,1,12.0,41.0,-32.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,2,2,15.0,41.0,-30.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,AB 45 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-04T01:18:02+00:00,pass,1/2,63,11,5,79.0,41.0,22.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,1,1,13.0,21.0,-10.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 45,Assembly,"Chaptered by Secretary of State - Chapter 134, Statutes of 2025.",Signed,3rd Reading AB45 Bauer-Kahan et al. By Menjivar,Senate,2025-09-12T07:00:00+00:00,pass,1/2,29,9,2,40.0,21.0,8.0
